Broken/unreadable files:
dataset split   class_raw                                                                       filepath
malaria  test        ring         ..\data\raw\malaria\test\ring\6e20a860-1f9a-4a74-b167-4c6a79bd8778.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\74bf1267-d98b-4532-a81d-9d8df63e0f75.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\78ae52cf-8dad-4070-a40e-9af02faec1f0.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\7d16d1e8-4abf-46fc-81bc-d71bd08ed6f2.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\8874ea02-d263-4830-99d1-e1b14230a56b.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\887cc81a-bae3-4360-a115-23ae05ac3a4f.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\8db76867-671a-4488-a7b6-991e4dd2e05f.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\8e1e0fd3-52fb-4ebb-82de-67bbd66fcf4d.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\91fd0c2e-8e9c-452d-97ab-304b05a049b3.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\96287315-87a1-4045-9e16-119e045bf12a.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\9cf0b006-cb5c-47e7-b076-1dcacf1fbfb1.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\9fd32265-07f2-442b-80b5-35069891d452.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\a3548f89-1cb5-4e67-b460-482df95b10ee.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\aa57ec7c-8f35-4990-a790-62efc9df8fe8.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\b47c1011-0cc6-400d-9300-1c72f873a6e5.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\b6fe541f-3be2-41a8-8124-757fc1ad875e.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\b9025f55-789d-4acb-9c0a-34e877c95c5c.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\bc820fb6-5ba8-4438-affe-e250d2ad5eb0.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\bd4da4f8-8996-47e0-a4e5-a3da5717441e.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\bfbf234a-cbc4-4d00-ab7f-9043d1304b41.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\c3631a04-b757-407b-8e7e-1ed3a6c463d4.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\d1394e1a-dedd-4458-a024-044dae2cd69d.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\da2197c7-7911-4be6-8bb9-164f47fd270a.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\e26b88c6-5884-4b5c-94d7-ad780379c8ad.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\e6a7743e-4040-40fa-b097-ca6874c469b7.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\e93e617e-ed36-43d9-bd1a-4ffd2fba64e9.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\ef55f2ac-5a04-4986-99ab-0d2b5052ab3e.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\f070a212-e4e2-4743-804c-80789a36f495.jpg
malaria  test        ring         ..\data\raw\malaria\test\ring\f08e873b-9617-42b3-9c7a-55d0e39c2663.jpg
malaria  test    schizont     ..\data\raw\malaria\test\schizont\0864c569-2ad7-48ed-b12a-e40aa5b93756.jpg
malaria  test    schizont     ..\data\raw\malaria\test\schizont\31c62771-4e90-4038-9abc-d196beda9898.jpg
malaria  test    schizont     ..\data\raw\malaria\test\schizont\3ce76f1d-636a-48b9-b0e3-fc7eb791a169.jpg
malaria  test    schizont     ..\data\raw\malaria\test\schizont\8e22f8cc-b6ef-48cb-a06d-a44cb1fb5f2f.jpg
malaria  test    schizont     ..\data\raw\malaria\test\schizont\a612e0d5-6a95-43cc-96a6-6fbcb8d45ff4.jpg
malaria  test    schizont     ..\data\raw\malaria\test\schizont\abb72ce2-4193-4dd3-a34c-61c2ee22ccff.jpg
malaria  test    schizont     ..\data\raw\malaria\test\schizont\b1d312cf-1f52-4955-bf42-58d3664c254a.jpg
malaria  test    schizont     ..\data\raw\malaria\test\schizont\c6807595-100a-4aa1-a5f6-882a20ca3d32.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\087602a2-288b-4a4d-b01a-524f0d799d89.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\0a3b53c7-e7ab-4135-80aa-fd2079d727d6.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\15625643-d964-4b14-9839-c126384ae35b.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\1e647046-333b-4102-a0c6-4c29405c37b3.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\21116b9d-e6be-483f-8394-e74622b2e182.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\23e581e7-0fb7-42ff-ba55-a86beefc0619.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\25865b39-56fb-409a-8800-3d368dd264ed.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\2c03b3c9-7786-4e1b-ac2b-c98e9f8358f2.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\34950f4e-fe44-49ec-9d49-14bd4a8ce7c0.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\351d6536-3a5c-46eb-a6e4-d71dd999908a.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\41be1bd3-0d31-4881-bf1f-3ccdfa21ff12.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\4da8f6c5-5f85-4280-92d0-1ba008e8c404.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\511b6e13-acd7-4dd3-b1d0-c4aa10a514c7.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\51a42643-256f-463a-bf22-7fd295caead0.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\51c6bc6b-4f37-4ce3-b624-840b27c1584a.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\51f6463c-1622-4c0d-8482-b864e0ed2e74.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\55078c19-bfaf-4988-a779-767e1c6d22f6.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\5c399ab9-492c-4bfc-a452-83aba574a3bc.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\623982a0-1f73-4246-92cb-28f7c219efaf.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\6d9a2241-2cce-42b3-a11d-a3a6b432dd89.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\738b7be5-59b5-4d8c-8769-cbf2385b9fc7.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\8111cff9-4c04-448e-990b-9d5010f7be56.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\8298aca0-5099-4d45-88ca-ec8ac7922e77.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\96afe167-6a2f-4770-aa74-e083fbd5e926.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\a5c8bf78-61e2-492d-bae5-0ffeea81212b.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\baab0701-3fd4-4940-8b90-b9c42d95888f.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\c8d1b7ec-be9f-4c88-a39b-2c6bf46b2998.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\cc453255-b583-425e-bc3e-284ccf120944.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\cea1cd9b-9b03-407b-ad8d-348155567dab.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\d9255d7f-1282-442d-b152-73d7388526f9.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\d9ecacb0-14c7-4862-930b-18bb51d5f392.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\dea9006d-c360-4118-b77b-8bc959fa5f8a.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\deab75c9-00bc-488c-8b20-ff4515d85212.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\edea6ca9-3d52-4b4f-bec3-93799b1c26e3.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\efb85f8e-c780-4a19-b6ce-555a154b0d10.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\f0ee03d6-c57b-43a0-8812-359330bdb93a.jpg
malaria  test trophozoite  ..\data\raw\malaria\test\trophozoite\f8ebe0c8-a90d-4a64-9f6a-f9985e38c340.jpg
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\027ab174-e47a-44f8-b85b-372449eeb7d8.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\04c07425-57c7-415c-a0bc-36857bbd4049.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\089c9744-f906-41d8-908d-1e37919a8658.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\14005767-9296-4b48-8a9d-bbe9b2040005.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\24879caf-a327-464c-9cd9-e0f3d9161079.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\25cfca07-2101-484f-b312-a927395f2651.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\2dbf6f69-e020-4948-9e49-4b33edb7cebd.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\3061aac0-cda3-47d1-8c48-6293e9ffdf36.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\318de807-7232-4ab1-843e-a901547c0125.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\46f5bd4f-8bea-48d1-a1da-4dea28e3b814.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\4aad9589-6b32-4522-bcd7-ca04687a02ca.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\4c460388-e0c1-4970-8527-c9e5b42bea49.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\4ce5a070-9ede-4bb1-9ca2-1bae5746776b.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\5893e081-04f2-4e33-9851-bed5f0e4d333.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\5a043d69-f435-46d4-8691-395c1602a76a.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\67f5ca94-d84e-490e-bf0d-4ffba7bdbe30.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\69569ecf-cfa1-4ddd-9342-b22c23387fdb.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\6bb4892c-27a9-4642-aba1-4b73f38f757c.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\6fb707b1-5c07-479f-8385-5404bf5747b0.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\75660b56-51c2-45a9-9c15-e18d12a3af8c.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\867f30da-2568-4480-9968-cece78c61c64.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\8a4aadac-cf5c-4a79-b875-271b3fbfd230.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\8e69098c-fae0-47a3-8833-c2bfdfb1a416.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\8f96ee1f-4ef7-4279-a610-316319bedcf9.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\9147a21d-0de2-4c04-88da-b788311696ac.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\9258fe22-6406-4d00-b6f0-3f9492925405.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\9a25f103-1683-47d1-8b07-ac20fe0b3ee9.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\b197093e-2928-46a4-8e35-fa5ea7ea6dac.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\b2f05937-b965-4c4b-b86e-f50e95d9d691.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\b618e87e-6059-496f-b0f6-e158f676a1fb.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\b834cbf7-ff97-49d9-9561-566c9343735c.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\b8410821-a42b-47d0-8bcf-c2fc82e4e2d5.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\b9de8b1a-f96a-4eb5-bc05-84ad43a054f3.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\bbf687b5-c6f9-4821-b2e5-a25df1acba47.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\c10b125d-10c2-474a-9c6a-5249935c638e.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\c649e1cb-4029-4433-b231-d67d68f7391a.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\c6d97845-8ad2-4ab7-b385-66613628df5b.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\cdb086a8-2bf8-4436-b1ef-96cdd801f247.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\d31dd2c0-ae8e-4499-86bb-7cabb6e438b9.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\dc4270fb-e5c2-414f-96e9-6769ba1d77e4.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\df49578a-60d4-4a3b-9ee0-79d9d59bc72a.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\eeb06e39-482b-443d-8cf6-b9b5c763df78.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\f20a4fcf-ea8e-4c14-883d-d26a9e08ce25.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\f24c8fe0-a534-44cf-9995-b2b314d945ba.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\f329e01b-fbd3-4fb5-9738-a7ff4c8622b8.png
malaria train  gametocyte  ..\data\raw\malaria\train\gametocyte\f3d84be2-8af0-4d62-9f72-23d3dc08cbbe.png
malaria train        ring        ..\data\raw\malaria\train\ring\00c8364b-8c85-4502-bcfe-64736fe76815.png
malaria train        ring        ..\data\raw\malaria\train\ring\035f6c4b-0897-46ab-9c3b-5f3b0feff043.png
malaria train        ring        ..\data\raw\malaria\train\ring\036404d1-b9fc-497b-bbe1-f4d9c5ac3ce0.png
malaria train        ring        ..\data\raw\malaria\train\ring\04fb49a2-07b8-4cdf-b6f7-df5c3688e5f8.png
malaria train        ring        ..\data\raw\malaria\train\ring\05717db9-f1ef-4101-a9f7-7a007e83b1c9.png
malaria train        ring        ..\data\raw\malaria\train\ring\09ecf7be-28e2-4531-b9e2-07e01c44097d.png
malaria train        ring        ..\data\raw\malaria\train\ring\0b04ec46-5119-4cda-8c35-c4e5b6f0eed0.png
malaria train        ring        ..\data\raw\malaria\train\ring\0ceb4539-5c4c-487d-9826-452a88b5d537.png
malaria train        ring        ..\data\raw\malaria\train\ring\0ed416f9-7c20-4829-9016-559e4009568e.png
malaria train        ring        ..\data\raw\malaria\train\ring\0f0c949e-018a-4f3f-ab02-3704f49c7754.png
malaria train        ring        ..\data\raw\malaria\train\ring\1380f9b4-bf54-4492-90c3-743c7aa8898b.png
malaria train        ring        ..\data\raw\malaria\train\ring\143f5959-5b6d-4f95-bcee-9e110450fc22.png
malaria train        ring        ..\data\raw\malaria\train\ring\184b376b-03cb-4c2d-af51-fc1a62196293.png
malaria train        ring        ..\data\raw\malaria\train\ring\1863da5f-c595-4541-a8f4-21fe78678168.png
malaria train        ring        ..\data\raw\malaria\train\ring\18dbe7c4-89d2-42a6-a969-1e951ab313b1.png
malaria train        ring        ..\data\raw\malaria\train\ring\1976cd04-d24f-457c-b423-7e4cdb05de9e.png
malaria train        ring        ..\data\raw\malaria\train\ring\1d4cdf2e-79a0-41e9-aabe-e437a190dfc4.png
malaria train        ring        ..\data\raw\malaria\train\ring\244ac6fa-8a92-4214-9cf4-ae0811d9ec7e.png
malaria train        ring        ..\data\raw\malaria\train\ring\2cc3c4ad-670f-41b6-8910-0704cbc192ef.png
malaria train        ring        ..\data\raw\malaria\train\ring\2e8d6a43-0110-4bf4-8e70-20567e513b81.png
malaria train        ring        ..\data\raw\malaria\train\ring\2fdbd9bc-bbaf-44c2-b40c-d193709639fa.png
malaria train        ring        ..\data\raw\malaria\train\ring\30167dc1-f739-4036-b5c4-5fad435c2c67.png
malaria train        ring        ..\data\raw\malaria\train\ring\361a3578-4cbb-422b-9e3c-b5e61395b12e.png
malaria train        ring        ..\data\raw\malaria\train\ring\367663b2-5d09-4020-ab0a-c2200e7a1c8c.png
malaria train        ring        ..\data\raw\malaria\train\ring\3911fcd2-4e26-4ad9-aaf0-d1c5bf41defc.png
malaria train        ring        ..\data\raw\malaria\train\ring\393df10a-5d64-476b-88f5-14ac56d6ed60.png
malaria train        ring        ..\data\raw\malaria\train\ring\3b5a8060-dec6-4a83-b7f2-b604e4e69dfc.png
malaria train        ring        ..\data\raw\malaria\train\ring\3de03fa2-3ad3-43fc-8435-b2a80bdd7550.png
malaria train        ring        ..\data\raw\malaria\train\ring\4411fea2-d785-4eeb-80c6-c739ab6114c4.png
malaria train        ring        ..\data\raw\malaria\train\ring\452482bc-24a3-413e-ba03-fad4c9d61f3c.png
malaria train        ring        ..\data\raw\malaria\train\ring\45902b63-be9a-49ae-9ede-3a8015671bc4.png
malaria train        ring        ..\data\raw\malaria\train\ring\477e541c-0519-4542-9b13-8ee7922644d3.png
malaria train        ring        ..\data\raw\malaria\train\ring\5487faad-24a7-46b6-92d8-479d3a8d229f.png
malaria train        ring        ..\data\raw\malaria\train\ring\55836297-fc8e-4e00-9767-0d12b86e4604.png
malaria train        ring        ..\data\raw\malaria\train\ring\56fbae44-4677-47f8-9c3a-22dac043c115.png
malaria train        ring        ..\data\raw\malaria\train\ring\580210c2-a8ed-4720-b71c-a77945968abc.png
malaria train        ring        ..\data\raw\malaria\train\ring\587e5464-d70b-4279-8562-010279f6efbd.png
malaria train        ring        ..\data\raw\malaria\train\ring\5a105b89-c592-4d78-b208-7db6c6572752.png
malaria train        ring        ..\data\raw\malaria\train\ring\6231d81d-9e84-4a5a-8cb8-47c6a37a0176.png
malaria train        ring        ..\data\raw\malaria\train\ring\6303f964-98ef-47c6-bb2d-283aa393f918.png
malaria train        ring        ..\data\raw\malaria\train\ring\63055d1b-5221-4c80-8b39-37ac069a1b5c.png
malaria train        ring        ..\data\raw\malaria\train\ring\6347dd6a-cfdf-4cb5-bc50-cff5403cfecb.png
malaria train        ring        ..\data\raw\malaria\train\ring\6382976c-ee87-4916-b798-4ef1373b2df0.png
malaria train        ring        ..\data\raw\malaria\train\ring\63ed5931-d93e-4f9b-a6f3-152713cb560e.png
malaria train        ring        ..\data\raw\malaria\train\ring\6795acae-e84d-4e97-b9a1-b4f4f0a72cfd.png
malaria train        ring        ..\data\raw\malaria\train\ring\6d91d1f0-636b-4f5a-a526-7c17fc857190.png
malaria train        ring        ..\data\raw\malaria\train\ring\76dbce7f-dc3e-4a29-b1fe-ab9dce583080.png
malaria train        ring        ..\data\raw\malaria\train\ring\78c35732-7e31-4153-842e-55ab1cd656f6.png
malaria train        ring        ..\data\raw\malaria\train\ring\79b3a64f-2fb9-46e0-85d4-2bdd59c2075e.png
malaria train        ring        ..\data\raw\malaria\train\ring\79f63258-24ce-4e69-a5cb-8529635a89a9.png
malaria train        ring        ..\data\raw\malaria\train\ring\7c66d2fd-68ee-4628-b860-9d7ad25b2a80.png
malaria train        ring        ..\data\raw\malaria\train\ring\7d4c2160-317f-48d1-a60a-788ec300b3e8.png
malaria train        ring        ..\data\raw\malaria\train\ring\81fed4a1-9d48-4938-90c9-c8bf3f5e6b1f.png
malaria train        ring        ..\data\raw\malaria\train\ring\83ec8923-6232-40d7-ba1f-a1b8bf7cb66c.png
malaria train        ring        ..\data\raw\malaria\train\ring\84ee2ea3-9edd-4672-a1b3-f09c607d833a.png
malaria train        ring        ..\data\raw\malaria\train\ring\861c3e06-aada-47a0-99ae-94fbc2772cc0.png
malaria train        ring        ..\data\raw\malaria\train\ring\8757be1e-b832-407a-8e95-62abae485b24.png
malaria train        ring        ..\data\raw\malaria\train\ring\89b3d781-2f81-4d23-bed4-84da064df7f3.png
malaria train        ring        ..\data\raw\malaria\train\ring\8bd71314-e38a-4670-bb25-5cd6c9acb595.png
malaria train        ring        ..\data\raw\malaria\train\ring\948c94ad-395c-41f4-9a68-8a1dcb76888c.png
malaria train        ring        ..\data\raw\malaria\train\ring\96596a68-8c95-43f3-b74e-e9506c235144.png
malaria train        ring        ..\data\raw\malaria\train\ring\98175327-da9e-4e0c-8912-ee68490a4672.png
malaria train        ring        ..\data\raw\malaria\train\ring\98efca97-37d2-4459-aca6-375ecc0c4539.png
malaria train        ring        ..\data\raw\malaria\train\ring\9cdee92c-6267-4188-a41e-125bc0abb9ae.png
malaria train        ring        ..\data\raw\malaria\train\ring\9e74feb8-017d-4d53-8896-9ebda4327dd1.png
malaria train        ring        ..\data\raw\malaria\train\ring\a0eedcb9-b85c-4612-b945-7e8227f53c35.png
malaria train        ring        ..\data\raw\malaria\train\ring\a302a6fa-f635-4ade-b72b-b6f3c2a34ec9.png
malaria train        ring        ..\data\raw\malaria\train\ring\a4851ed0-1499-4eae-9157-dcd34773254f.png
malaria train        ring        ..\data\raw\malaria\train\ring\a6f8a029-44ee-4fe3-b807-38d137347729.png
malaria train        ring        ..\data\raw\malaria\train\ring\a7688988-2bcc-4458-83d3-5e482da5f87b.png
malaria train        ring        ..\data\raw\malaria\train\ring\a9feccda-18f2-405e-9aa1-409fa1f49fe4.png
malaria train        ring        ..\data\raw\malaria\train\ring\ac3358f1-ef9a-4ccc-b66c-da5e47e352e0.png
malaria train        ring        ..\data\raw\malaria\train\ring\ad36bd67-594b-4f63-93e3-886af0bc618e.png
malaria train        ring        ..\data\raw\malaria\train\ring\ae17a099-18b5-4a42-a901-850ea056423e.png
malaria train        ring        ..\data\raw\malaria\train\ring\afa470d9-c74c-41cd-b4dc-7bf93fde8263.png
malaria train        ring        ..\data\raw\malaria\train\ring\b34e65f6-c32e-42f1-a437-4a037c75a231.png
malaria train        ring        ..\data\raw\malaria\train\ring\b4bde4e8-f48b-4ae2-be01-86d8c91d0af9.png
malaria train        ring        ..\data\raw\malaria\train\ring\b4e5e08d-6427-46f3-aca8-a4df165a151d.png
malaria train        ring        ..\data\raw\malaria\train\ring\b6573be3-9e04-49c3-9f48-6a145d065363.png
malaria train        ring        ..\data\raw\malaria\train\ring\c776eb78-3323-4571-b39f-7ffc73ae63ce.png
malaria train        ring        ..\data\raw\malaria\train\ring\cc882eae-a341-4783-bd19-8bdedf798538.png
malaria train        ring        ..\data\raw\malaria\train\ring\d3283f5b-3b3a-40ea-800b-79960ca851cb.png
malaria train        ring        ..\data\raw\malaria\train\ring\d64cd75a-df26-44d5-ac25-69061a4e4d57.png
malaria train        ring        ..\data\raw\malaria\train\ring\d6942996-5664-4370-ad87-2bdcbd49ac16.png
malaria train        ring        ..\data\raw\malaria\train\ring\d8f7e159-b7e3-49e4-86e8-aed8c5fbcd97.png
malaria train        ring        ..\data\raw\malaria\train\ring\dacf7e3f-1d8c-42a0-8539-3abe3971c956.png
malaria train        ring        ..\data\raw\malaria\train\ring\db7c5ec1-fefe-4e9d-83c1-da8fb982f1e2.png
malaria train        ring        ..\data\raw\malaria\train\ring\df3d98b9-3dd7-4107-8d4a-ae1b7f247793.png
malaria train        ring        ..\data\raw\malaria\train\ring\dfac6c92-8f0f-429a-8caf-9b7732bf78da.png
malaria train        ring        ..\data\raw\malaria\train\ring\dfc026a9-079f-4f45-8666-e0ccba5bb437.png
malaria train        ring        ..\data\raw\malaria\train\ring\e3ea07d7-884a-412e-874a-40fd6b856736.png
malaria train        ring        ..\data\raw\malaria\train\ring\e597f7ce-46c6-4dce-9063-50a2703fdd45.png
malaria train        ring        ..\data\raw\malaria\train\ring\eaf4b781-b3aa-41ce-8c5e-287979b4e15a.png
malaria train        ring        ..\data\raw\malaria\train\ring\eb77e4a9-acb0-4d83-8055-2c5fcaa54b45.png
malaria train        ring        ..\data\raw\malaria\train\ring\ed0bee2f-05e0-4392-8357-19750cec577c.png
malaria train        ring        ..\data\raw\malaria\train\ring\eef2ac0b-42de-4bc3-a3c3-d5fcd597fbe4.png
malaria train        ring        ..\data\raw\malaria\train\ring\effd6334-516f-4d48-9f3c-5272a99780fb.png
malaria train        ring        ..\data\raw\malaria\train\ring\f09acb0c-b270-4e91-99f8-410adfa7f34a.png
malaria train        ring        ..\data\raw\malaria\train\ring\f5419bc0-4415-41b6-b832-5326cfcc534b.png
malaria train        ring        ..\data\raw\malaria\train\ring\f7cced00-9b41-45ec-9fdf-fb9e1a74da90.png
malaria train        ring        ..\data\raw\malaria\train\ring\f8a8b148-60e4-4a5c-ae19-941b19ec0846.png
malaria train        ring        ..\data\raw\malaria\train\ring\f91670db-be74-474c-bd72-68120aed4756.png
malaria train        ring        ..\data\raw\malaria\train\ring\fbcb2ef0-3c97-4d7a-8b96-0147c73f3941.png
